protein,target_layer,target_head,source_layer,source_head,source_group,alpha_star,indirect_metric,indirect_drop,indirect_fraction_of_total_drop,pass_c_attn_diff_l1,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm,target_total_attn_diff_l1
1PVGA,26,16,14,9,ANCHOR,0.25,0.5921294093132019,7.152557373046875e-07,2.8557391253751576e-06,12.073951721191406,175.3258514404297,195.1542205810547,83.39207458496094,45.63057327270508
1PVGA,26,16,17,18,ANCHOR,0.25,0.5921595096588135,-2.9385089874267578e-05,-0.00011732328240082941,11.507612228393555,175.37548828125,195.2174072265625,83.5162582397461,45.63057327270508
1PVGA,26,16,12,8,OTHER,0.25,0.5923973917961121,-0.00026726722717285156,-0.0010670945198485173,11.688182830810547,175.3964385986328,195.23812866210938,83.50334930419922,45.63057327270508
1PVGA,26,16,13,17,OTHER,0.25,0.5922566652297974,-0.0001265406608581543,-0.000505227846930955,11.30972671508789,175.3681182861328,195.23194885253906,83.4280014038086,45.63057327270508
1PVGA,26,16,14,0,OTHER,0.25,0.592336118221283,-0.00020599365234375,-0.0008224528681080455,11.40467643737793,175.3013916015625,195.24526977539062,83.43328857421875,45.63057327270508
1PVGA,26,16,14,3,OTHER,0.25,0.5923499464988708,-0.00021982192993164062,-0.0008776638245319652,11.26364803314209,175.3104705810547,195.24745178222656,83.39952850341797,45.63057327270508
1PVGA,26,16,16,7,OTHER,0.25,0.5923380851745605,-0.0002079606056213379,-0.0008303061507028271,11.792724609375,175.3140411376953,195.2180938720703,83.41297149658203,45.63057327270508
1PVGA,26,16,16,14,OTHER,0.25,0.592252254486084,-0.0001221299171447754,-0.00048761745565780823,11.436184883117676,175.37921142578125,195.21945190429688,83.5771255493164,45.63057327270508
1PVGA,26,16,20,3,OTHER,0.25,0.5922031998634338,-7.30752944946289e-05,-0.000291761347309162,11.381853103637695,175.3134002685547,195.2300262451172,83.4338150024414,45.63057327270508
1PVGA,26,16,21,13,OTHER,0.25,0.5924140214920044,-0.00028389692306518555,-0.0011334904545134898,11.269912719726562,175.3151092529297,195.23681640625,83.41575622558594,45.63057327270508
1PVGA,26,16,24,18,OTHER,0.25,0.5922064781188965,-7.635354995727539e-05,-0.0003048501516337981,11.446853637695312,175.43984985351562,195.27761840820312,83.50505828857422,45.63057327270508
1PVGA,27,15,13,2,INTRA,0.25,0.5947175025939941,-0.0025873780250549316,-0.010330398307784186,13.507711410522461,179.85313415527344,185.6175537109375,69.84315490722656,54.125038146972656
1PVGA,27,15,17,10,INTRA,0.25,0.592779278755188,-0.0006491541862487793,-0.0025918212345384037,13.548016548156738,179.87013244628906,185.5885772705078,69.798583984375,54.125038146972656
1PVGA,27,15,14,4,CROSS,0.25,0.5942787528038025,-0.0021486282348632812,-0.008578640332626975,13.406015396118164,179.98895263671875,185.60824584960938,69.90213012695312,54.125038146972656
1PVGA,27,15,15,8,CROSS,0.25,0.5939800143241882,-0.0018498897552490234,-0.00738589329126195,13.540382385253906,179.9134979248047,185.5707244873047,69.79312896728516,54.125038146972656
1PVGA,27,15,11,14,ANCHOR,0.25,0.5948089957237244,-0.0026788711547851562,-0.010695694937571758,14.190850257873535,179.91661071777344,185.61599731445312,69.77388763427734,54.125038146972656
1PVGA,27,15,11,16,ANCHOR,0.25,0.5953279733657837,-0.0031978487968444824,-0.012767771651291882,15.872751235961914,179.92433166503906,185.5272216796875,69.71627044677734,54.125038146972656
1PVGA,27,15,12,10,ANCHOR,0.25,0.5960802435874939,-0.0039501190185546875,-0.015771295276405205,12.931317329406738,179.87921142578125,185.5550537109375,69.7987060546875,54.125038146972656
1PVGA,27,15,12,15,ANCHOR,0.25,0.59520024061203,-0.0030701160430908203,-0.01225778423915197,13.562200546264648,179.85479736328125,185.5892791748047,69.79877471923828,54.125038146972656
